timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2026-05-20 17:43:54,92.64,874.4,85.39,61,healthy
2026-05-20 17:44:00,102.92,365.6,35.70,48,healthy
2026-05-20 17:44:07,89.08,1019,99.51,85,healthy
2026-05-20 17:44:12,0.02,23.42,2.29,18,healthy
2026-05-20 17:44:18,0.03,23.5,2.29,13,healthy
2026-05-20 17:44:24,95.37,1023,99.90,286,healthy
2026-05-20 17:44:30,0.42,23.42,2.29,14,healthy
2026-05-20 17:44:36,0.01,23.5,2.29,16,healthy
2026-05-20 17:44:41,91.58,1016,99.22,168,healthy
2026-05-20 17:44:47,0.02,23.42,2.29,15,healthy
2026-05-20 17:44:53,0.02,23.5,2.29,15,healthy
2026-05-20 17:44:59,100.42,898.6,87.75,319,healthy
2026-05-20 17:45:05,0.00,23.31,2.28,14,healthy
2026-05-20 17:45:10,4.42,23.48,2.29,16,healthy
2026-05-20 17:45:16,100.07,506.7,49.48,104,healthy
2026-05-20 17:45:22,96.09,1024,100.00,95,healthy
